order_id,order_date,customer_id,product_id,payment_id,channel,payment_method,quantity,unit_price,discount,net_sales
ORD000001,2026-01-08 17:11:00,C0158,P039,PAY000001,Marketplace,Bank Transfer,2,940.5,0.0,1881.0
ORD000002,2026-01-12 20:13:00,C0123,P038,PAY000002,Mobile App,Bank Transfer,1,12900.0,0.1,11610.0
ORD000003,2026-01-26 14:00:00,C0119,P031,PAY000003,Web,PromptPay,3,1415.5,0.05,4034.18
ORD000004,2026-01-18 16:18:00,C0065,P003,PAY000004,Mobile App,Bank Transfer,2,25900.0,0.0,51800.0
ORD000005,2026-01-08 17:43:00,C0129,P007,PAY000005,Mobile App,Credit Card,2,23310.0,0.05,44289.0
ORD000006,2026-01-23 11:50:00,C0097,P037,PAY000006,Mobile App,Bank Transfer,2,27195.0,0.0,54390.0
ORD000007,2026-01-24 07:03:00,C0139,P001,PAY000007,Web,Bank Transfer,1,284.05,0.0,284.05
ORD000010,2026-01-07 03:12:00,C0100,P017,PAY000010,Mobile App,Bank Transfer,2,990.0,0.1,1782.0
ORD000011,2026-01-12 14:34:00,C0120,P028,PAY000011,Web,Credit Card,2,313.95,0.0,627.9
ORD000012,2026-01-08 22:35:00,C0141,P008,PAY000012,Marketplace,Bank Transfer,2,449.1,0.05,853.29
ORD000013,2026-01-27 22:41:00,C0110,P002,PAY000013,Mobile App,Bank Transfer,2,1341.0,0.0,2682.0
ORD000014,2026-01-20 07:11:00,C0142,P017,PAY000014,Marketplace,Credit Card,4,990.0,0.0,3960.0
ORD000015,2026-01-04 13:47:00,C0151,P018,PAY000015,Web,Bank Transfer,2,4189.5,0.0,8379.0
ORD000016,2026-01-18 06:47:00,C0072,P006,PAY000016,Mobile App,Bank Transfer,1,313.95,0.0,313.95
ORD000017,2026-01-27 00:37:00,C0048,P019,PAY000017,Mobile App,Bank Transfer,2,3591.0,0.0,7182.0
ORD000018,2026-01-05 02:59:00,C0037,P001,PAY000018,Marketplace,Bank Transfer,3,299.0,0.0,897.0
ORD000019,2026-01-14 22:23:00,C0159,P019,PAY000019,Web,PromptPay,1,4189.5,0.1,3770.55
ORD000020,2026-01-08 21:53:00,C0115,P007,PAY000020,Web,Credit Card,1,25900.0,0.0,25900.0
ORD000021,2026-01-18 02:04:00,C0007,P007,PAY000021,Web,Bank Transfer,1,27195.0,0.05,25835.25
ORD000024,2026-01-28 11:43:00,C0042,P033,PAY000024,Marketplace,Bank Transfer,1,13545.0,0.0,13545.0
ORD000025,2026-01-07 13:04:00,C0079,P011,PAY000025,Web,Credit Card,1,25900.0,0.0,25900.0
ORD000026,2026-01-04 19:15:00,C0107,P008,PAY000026,Mobile App,Credit Card,1,499.0,0.0,499.0
ORD000027,2026-01-23 14:12:00,C0143,P019,PAY000027,Web,Credit Card,2,3790.5,0.1,6822.9
ORD000028,2026-01-08 05:59:00,C0139,P013,PAY000028,Mobile App,Credit Card,4,523.95,0.0,2095.8
ORD000030,2026-01-10 12:26:00,C0003,P006,PAY000030,Mobile App,PromptPay,1,299.0,0.05,284.05
ORD000031,2026-01-16 18:33:00,C0087,P027,PAY000031,Web,PromptPay,1,24605.0,0.0,24605.0
ORD000032,2026-01-01 14:52:00,C0085,P035,PAY000032,Mobile App,Bank Transfer,1,25900.0,0.0,25900.0
ORD000034,2026-01-24 06:21:00,C0044,P005,PAY000034,Web,PromptPay,1,313.95,0.0,313.95
ORD000035,2026-01-16 21:39:00,C0045,P033,PAY000035,Marketplace,PromptPay,3,12900.0,0.0,38700.0
ORD000036,2026-01-21 10:30:00,C0043,P005,PAY000036,Mobile App,Credit Card,1,299.0,0.0,299.0
ORD000037,2026-01-20 00:56:00,C0108,P017,PAY000037,Web,PromptPay,4,990.0,0.0,3960.0
ORD000038,2026-01-18 01:57:00,C0008,P009,PAY000038,Mobile App,PromptPay,1,284.05,0.05,269.85
ORD000039,2026-01-28 20:23:00,C0126,P004,PAY000039,Marketplace,PromptPay,2,1415.5,0.0,2831.0
ORD000040,2026-01-15 23:19:00,C0086,P021,PAY000040,Marketplace,PromptPay,1,23310.0,0.0,23310.0
ORD000041,2026-01-11 12:38:00,C0008,P034,PAY000041,Web,Credit Card,2,284.05,0.0,568.1
ORD000042,2026-01-21 15:59:00,C0114,P032,PAY000042,Marketplace,Credit Card,1,25900.0,0.0,25900.0
ORD000043,2026-01-03 08:15:00,C0006,P018,PAY000043,Web,Bank Transfer,1,3790.5,0.05,3600.98
ORD000044,2026-01-24 20:02:00,C0126,P022,PAY000044,Mobile App,Credit Card,2,,0.05,
ORD000045,2026-01-16 19:17:00,C0068,P019,PAY000045,Marketplace,Bank Transfer,3,3990.0,0.0,11970.0
ORD000046,2026-01-21 21:21:00,C0097,P026,PAY000046,Mobile App,Bank Transfer,2,12900.0,0.1,23220.0
ORD000047,2026-01-01 07:56:00,C0100,P038,PAY000047,Web,PromptPay,4,11610.0,0.0,46440.0
ORD000048,2026-01-13 07:59:00,C0040,P038,PAY000048,Marketplace,PromptPay,2,12900.0,0.0,25800.0
ORD000049,2026-01-18 00:12:00,C0059,P019,PAY000049,Mobile App,PromptPay,1,3990.0,0.05,3790.5
ORD000050,2026-01-09 02:38:00,C0067,P006,PAY000050,Web,Bank Transfer,1,313.95,0.0,313.95
ORD000051,2026-01-24 03:14:00,C0035,P039,PAY000051,Marketplace,Credit Card,4,990.0,0.0,3960.0
ORD000052,2026-01-18 11:03:00,C0079,P035,PAY000052,Mobile App,Credit Card,1,23310.0,0.0,23310.0
ORD000053,2026-01-16 20:25:00,C0113,P019,PAY000053,Marketplace,Credit Card,4,3990.0,0.05,15162.0
ORD000054,2026-01-01 18:10:00,C0046,P035,PAY000054,Marketplace,Bank Transfer,1,25900.0,0.1,23310.0
ORD000055,2026-01-07 14:06:00,C0132,P027,PAY000055,Marketplace,Credit Card,2,23310.0,0.0,46620.0
ORD000057,2026-01-20 22:46:00,C0054,P039,PAY000057,Marketplace,Bank Transfer,2,990.0,0.0,1980.0
ORD000058,2026-01-16 05:55:00,C0096,P038,PAY000058,Mobile App,PromptPay,2,13545.0,0.05,25735.5
ORD000059,2026-01-22 06:56:00,C0038,P005,PAY000059,Mobile App,Bank Transfer,1,284.05,0.0,284.05
ORD000060,2026-01-15 09:26:00,C0057,P005,PAY000060,Mobile App,Credit Card,1,299.0,0.1,269.1
ORD000061,2026-01-08 12:44:00,C0102,P023,PAY000061,Mobile App,Bank Transfer,2,313.95,0.1,565.11
