quarantine_key,order_id,source_batch,reason_code,raw_payload,loaded_at
1,O000083,orders_batch_1,customer_id_not_found,order_id=O000083; order_datetime=2026-02-05 11:37:00; customer_id=nan; product_id=P039; quantity=4; unit_price=688.83; discount_pct=5; payment_method=Cash; sales_channel=Online; updated_at=2026-02-06 23:59:00,2026-08-18T05:31:18.319739
2,O000089,orders_batch_1,quantity_out_of_range,order_id=O000089; order_datetime=2026-03-04 08:25:00; customer_id=C0030; product_id=P035; quantity=-2; unit_price=997.99; discount_pct=10; payment_method=Credit Card; sales_channel=Online; updated_at=2026-03-05 23:59:00,2026-08-18T05:31:18.319739
3,O000097,orders_batch_1,invalid_order_datetime,order_id=O000097; order_datetime=31/02/2026 10:00; customer_id=C0110; product_id=P040; quantity=5; unit_price=1472.44; discount_pct=0; payment_method=Bank Transfer; sales_channel=Online; updated_at=2026-03-03 23:59:00,2026-08-18T05:31:18.319739
4,O000101,orders_batch_1,discount_pct_out_of_range,order_id=O000101; order_datetime=2026-02-28 22:40:00; customer_id=C0151; product_id=P029; quantity=3; unit_price=450.41; discount_pct=120; payment_method=Credit Card; sales_channel=Store; updated_at=2026-03-01 23:59:00,2026-08-18T05:31:18.319739
5,O000107,orders_batch_1,product_id_not_found,order_id=O000107; order_datetime=2026-03-03 15:13:00; customer_id=C0130; product_id=P999; quantity=1; unit_price=766; discount_pct=15; payment_method=PromptPay; sales_channel=Store; updated_at=2026-03-04 23:59:00,2026-08-18T05:31:18.319739
6,O000113,orders_batch_1,invalid_quantity_type,order_id=O000113; order_datetime=2026-01-03 03:35:00; customer_id=C0039; product_id=P011; quantity=three; unit_price=616.6; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-04 23:59:00,2026-08-18T05:31:18.319739
7,O000131,orders_batch_1,invalid_order_datetime,order_id=O000131; order_datetime=not-a-date; customer_id=C0152; product_id=P037; quantity=1; unit_price=185.91; discount_pct=5; payment_method=Bank Transfer; sales_channel=Marketplace; updated_at=2026-02-17 23:59:00,2026-08-18T05:31:18.319739
8,O000139,orders_batch_1,invalid_unit_price_type,order_id=O000139; order_datetime=2026-02-03 21:12:00; customer_id=C0072; product_id=P039; quantity=4; unit_price=nan; discount_pct=5; payment_method=Cash; sales_channel=Online; updated_at=2026-02-04 23:59:00,2026-08-18T05:31:18.319739
9,O000149,orders_batch_1,customer_id_not_found,order_id=O000149; order_datetime=2026-01-08 12:33:00; customer_id=C9999; product_id=P039; quantity=4; unit_price=688.83; discount_pct=10; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-01-09 23:59:00,2026-08-18T05:31:18.319739
10,O000166,orders_batch_1,customer_id_not_found,order_id=O000166; order_datetime=2026-01-18 04:01:00; customer_id=nan; product_id=P027; quantity=4; unit_price=817.79; discount_pct=10; payment_method=PromptPay; sales_channel=Online; updated_at=2026-01-19 23:59:00,2026-08-18T05:31:18.319739
11,O000178,orders_batch_1,quantity_out_of_range,order_id=O000178; order_datetime=2026-02-16 01:47:00; customer_id=C0061; product_id=P026; quantity=-2; unit_price=1185.43; discount_pct=0; payment_method=PromptPay; sales_channel=Marketplace; updated_at=2026-02-17 23:59:00,2026-08-18T05:31:18.319739
